age_at_marriage,marriage_duration_years,num_children,education_level,employment_status,combined_income,religious_compatibility,cultural_background_match,communication_score,conflict_frequency,conflict_resolution_style,financial_stress_level,mental_health_issues,infidelity_occurred,counseling_attended,social_support,shared_hobbies_count,marriage_type,pre_marital_cohabitation,domestic_violence_history,trust_score,divorced
30,1,1,Bachelor,Full-time,64001,Different Religion,1,5.536015652697506,3,Collaborative,6.026355365565182,0,0,0,8.42818342947142,5,Love,1,0,6.262410586531071,1
27,2,2,Master,Full-time,86221,Same Religion,1,5.81017186347936,3,Aggressive,1.0,0,1,0,5.297221031546003,1,Love,1,0,6.769383657417087,1
31,6,0,High School,Part-time,69441,Same Religion,0,6.088145848329948,3,Collaborative,3.199275226082949,0,0,0,5.887065994187974,1,Arranged,1,0,5.532866462952439,1
35,3,2,Bachelor,Full-time,69513,Not Religious,1,6.212046087733126,3,Aggressive,4.893632690260134,0,0,0,5.263554709512907,5,Love,1,0,3.4912641026776803,0
26,2,2,No Formal Education,Full-time,63986,Different Religion,1,4.826261815687056,1,Passive,9.431153903611612,0,0,1,5.771259248831827,4,Love,1,0,10.0,1
26,10,0,High School,Full-time,44605,Same Religion,0,6.825963721810529,3,Collaborative,9.11826755710532,0,0,0,6.909349905385749,3,Love,1,0,4.628148508162358,0
35,10,2,High School,Full-time,73454,Different Religion,1,3.775491472117711,1,Passive,1.0,0,0,0,7.351374872573725,1,Love,1,0,5.753932278804528,0
31,17,1,High School,Unemployed,59491,Not Religious,1,6.613021306313528,4,Aggressive,1.822366119784568,0,0,0,8.709812725325015,2,Love,0,0,7.010559453949018,1
25,5,1,Bachelor,Full-time,40944,Not Religious,0,2.9633450296145267,0,Collaborative,5.361882463925149,0,0,0,8.727489420776209,3,Arranged,1,0,2.428384995197588,0
30,1,0,PhD,Full-time,46819,Same Religion,1,3.612108601933036,1,Collaborative,6.575485646308422,1,0,0,5.939284615610062,1,Arranged,1,0,8.750676335700716,1
25,3,4,Bachelor,Part-time,37276,Same Religion,0,4.565047745865614,1,Collaborative,3.3539670684292484,0,0,0,4.609763694627443,2,Love,0,0,4.240358853800414,0
25,39,2,Bachelor,Unemployed,81193,Different Religion,1,6.389067664792126,0,Collaborative,6.293823334690547,1,0,0,6.512878272936678,3,Arranged,1,0,7.767143535698928,0
29,9,3,Bachelor,Full-time,99575,Same Religion,1,6.471660824545157,2,Collaborative,3.339944028683598,0,0,1,5.000273651085772,4,Arranged,0,0,3.2033065956933773,1
